customer_id,age,gender,income,subscription_type,avg_watch_time,complaints,feedback_score,churn
CUST00001,56,Male,129952,Standard,1.71,3,5,0
CUST00002,69,Female,74235,Premium,2.23,2,2,0
CUST00003,46,Female,78565,Standard,0.3,1,3,0
CUST00004,32,Female,75342,Basic,1.11,3,3,0
CUST00005,60,Male,62723,Premium,0.32,1,5,0
CUST00006,25,Female,55572,Standard,2.73,3,1,1
CUST00007,38,Female,37610,Standard,0.64,1,2,0
CUST00008,56,Female,54052,Standard,3.41,1,4,0
CUST00009,36,Male,118993,Basic,2.36,0,4,1
CUST00010,40,Male,107063,Premium,2.96,0,2,1
CUST00011,28,Female,57550,Standard,1.35,1,5,1
CUST00012,28,Female,74033,Standard,0.88,0,3,0
CUST00013,41,Female,49011,Premium,1.65,2,3,0
CUST00014,53,Male,122811,Basic,3.06,3,2,1
CUST00015,57,Male,54764,Basic,4.12,1,3,0
CUST00016,41,Male,117540,Basic,2.51,2,2,0
CUST00017,20,Female,73533,Basic,0.68,2,1,0
CUST00018,39,Male,44064,Basic,1.03,2,3,1
CUST00019,19,Female,143989,Standard,0.51,0,5,1
CUST00020,41,Female,147825,Standard,1.87,2,3,0
CUST00021,61,Male,69581,Standard,1.72,3,2,1
CUST00022,47,Female,140388,Premium,1.86,2,4,1
CUST00023,55,Male,48702,Basic,0.93,0,3,1
CUST00024,19,Female,105701,Premium,0.83,1,2,1
CUST00025,38,Female,143482,Basic,2.09,2,3,0
CUST00026,50,Male,28631,Basic,2.48,1,3,0
CUST00027,29,Female,143864,Premium,0.82,1,3,1
CUST00028,39,Female,107388,Standard,2.47,2,4,0
CUST00029,61,Female,144798,Premium,2.95,3,2,1
CUST00030,42,Female,90043,Standard,-0.33,1,1,1
CUST00031,66,Female,86063,Basic,3.58,1,5,0
CUST00032,44,Female,48981,Standard,2.7,1,4,0
CUST00033,59,Female,55764,Basic,2.96,1,5,0
CUST00034,45,Female,121771,Basic,0.98,3,5,0
CUST00035,33,Male,148787,Standard,2.79,3,1,1
CUST00036,32,Male,70513,Basic,2.9,1,3,0
CUST00037,64,Female,141505,Standard,1.35,1,1,1
CUST00038,68,Female,149014,Premium,2.78,2,5,0
CUST00039,61,Male,133076,Basic,1.86,1,4,0
CUST00040,69,Female,119007,Basic,1.38,3,5,0
CUST00041,20,Male,86198,Premium,1.8,1,5,0
CUST00042,54,Male,44940,Basic,2.17,3,1,1
CUST00043,68,Male,127418,Premium,1.7,0,2,1
CUST00044,24,Female,91792,Premium,1.21,1,5,0
CUST00045,38,Female,48432,Basic,2.39,3,2,0
CUST00046,26,Female,28367,Premium,2.56,1,3,0
CUST00047,56,Male,131764,Premium,2.15,1,5,0
CUST00048,35,Male,123601,Premium,0.38,1,1,1
CUST00049,21,Male,45511,Basic,1.42,0,3,1
CUST00050,42,Female,28573,Premium,1.16,1,4,1
CUST00051,31,Male,35582,Standard,3.73,4,5,1
CUST00052,67,Male,25378,Standard,2.12,1,1,1
